metric,p2.5,p5,p25,p50,p75,p95,p97.5,mean,std
margin_gain_pct,22.06946535019721,22.17835288130833,22.888241374956817,24.230805564808136,25.40157352381043,27.318072145445413,27.983685720070227,24.32444738076887,1.63402201435358
vol_gain_pct,24.28899991314276,24.58477822446874,25.3300807196859,26.05395042141358,26.830101254772963,28.216025360011383,28.586157109064356,26.148014225600626,1.1348823042728025
lp_margin,957.820116458875,973.6762888387499,1018.1449799925001,1052.2584248425,1084.66824645125,1138.07717927675,1160.5676767323753,1053.2019388691301,51.115914551811414
