baseline_margin,lp_margin,baseline_volume,lp_volume,gain_pct,vol_gain_pct,n_unique_weeks
860.9249999999998,1198.43321467,2110.65,3032.6,39.20297524987662,43.680856608153874,6
823.7488888888889,1167.7570831650003,2029.8555555555554,2975.1,41.761293874414285,46.567079211985536,6
836.3616666666667,1181.7866275600002,2047.5333333333333,2986.0,41.30090780822493,45.8340116563019,8
793.1892857142857,1105.1937797200003,1957.1714285714286,2839.8000000000006,39.33543980296546,45.09715186639614,6
846.6098412698412,1192.6470236900002,2087.3698412698413,3037.2999999999997,40.87327663249617,45.508473867394436,8
855.08,1194.9775008000001,2100.116666666667,3038.3,39.750374327548315,44.67291499678589,7
890.2742857142856,1279.8631263150003,2176.1428571428573,3211.7999999999997,43.76054063924125,47.59141337884852,5
852.9137499999999,1190.7757153,2091.125,3002.9,39.6126765807211,43.60212804112619,7
827.7420833333333,1165.95932499,2043.6583333333333,2973.1000000000004,40.86022064924611,45.47930794041732,8
784.7028571428572,1085.596428365,1944.4476190476191,2775.8999999999996,38.344905779712796,42.760338350467975,6
806.8748412698413,1125.4459524499998,2001.5698412698412,2895.1999999999994,39.482097456254614,44.646464005633646,6
843.99375,1179.2025,2071.4249999999997,3008.8999999999996,39.716970652922505,45.257491823261766,6
846.5638888888888,1184.19719354,2067.888888888889,2975.5,39.88279078313314,43.89070979528234,6
855.56,1197.76455295,2100.65,3046.2000000000003,39.99772697998973,45.012258110584824,6
845.0812500000001,1203.2881545000002,2075.1749999999997,3060.8,42.387273945552586,47.4959943137326,5
833.8622222222222,1177.19347241,2043.7722222222221,2973.6000000000004,41.17361849932576,45.49566569442673,8
848.1038888888891,1194.8973515,2076.688888888889,3022.7999999999997,40.89044598833867,45.55863500658097,7
874.8720833333333,1236.6711010150002,2144.1583333333333,3112.5,41.35450479836817,45.161854496130964,7
861.5166666666665,1215.763363385,2108.5666666666666,3073.1,41.118960366601556,45.74355407306701,6
904.6663888888888,1282.6181348500002,2210.113888888889,3200.1000000000004,41.77802454066096,44.793443274039426,5
867.6850000000001,1231.8704467999999,2124.3333333333335,3097.1000000000004,41.972080513089395,45.79162090067473,6
863.9977777777777,1214.54018834,2122.427777777778,3074.2000000000007,40.57214261173511,44.84356227276418,5
807.5894444444444,1127.932569155,1996.1277777777777,2892.1,39.666581443610305,44.88551445437416,7
831.921111111111,1159.0885220999999,2042.4444444444446,2922.2,39.32673502562342,43.07365901425305,6
886.7127777777778,1236.5357354,2171.2111111111108,3113.1,39.45166534071223,43.38080641116839,6
877.8249999999999,1234.2026792000001,2150.4,3104.5,40.597804710506104,44.36848958333332,5
875.7963888888889,1247.6530458399998,2137.838888888889,3142.2000000000003,42.45925898631306,46.9802058672959,8
884.0266666666666,1248.11309537,2156.2666666666664,3133.8999999999996,41.185005207610644,45.339166460549094,6
857.3355555555556,1218.3386112500002,2077.9888888888886,3009.5,42.10755676177616,44.82753089258313,6
809.4302777777777,1139.99884893,1992.611111111111,2913.5,40.839659724586795,46.21518387375582,7
796.7575,1115.9641079500002,1975.6500000000003,2874.8,40.06320718035288,45.51160377597245,5
873.6306349206349,1226.39459327,2145.520634920635,3103.1999999999994,40.379073746814306,44.63622253228945,5
890.93375,1266.5012496999998,2176.975,3209.0,42.15436890790137,47.40637811642303,7
813.9917857142857,1157.76914525,2006.9642857142856,2943.8,42.23351704145839,46.67924192543823,6
912.4835714285715,1313.2324103550002,2217.0761904761907,3277.1,43.918471682621295,47.81178987340682,5
871.8384722222222,1242.3974008050002,2132.847222222222,3141.9,42.50316318781657,47.3101292612249,8
774.3458730158729,1073.5980158349998,1923.2015873015873,2774.4999999999995,38.64579811778666,44.26464798694635,8
812.5923015873017,1132.87551494,2014.0873015873015,2920.2999999999997,39.41499479223017,44.993714904935466,7
868.08125,1241.1978572,2129.975,3155.7,42.981760889317684,48.156668505498885,5
814.7106944444444,1134.707837885,2020.7194444444444,2933.2000000000003,39.277395721282794,45.15622186267544,7
902.1322222222223,1300.9688987000002,2196.3888888888887,3252.3999999999996,44.210445725497266,48.07942329581383,7
873.4783333333334,1234.234851065,2136.4333333333334,3127.8,41.3011409630462,46.402883310189885,6
829.3908333333333,1172.1148709199997,2040.6833333333336,2983.2,41.322380693460744,46.18632647560863,8
857.1193055555557,1209.654661955,2106.8805555555555,3075.9,41.130255043192946,45.99308878186156,8
874.8211111111112,1243.9313305399999,2136.211111111111,3130.1000000000004,42.19265113070732,46.52578032757896,7
877.9491666666668,1258.0191667550002,2137.2166666666667,3160.3,43.29066129550022,47.86989308524327,7
891.6451785714286,1277.5480954999998,2179.482142857143,3200.0,43.27987479805085,46.82386871062095,6
820.6802777777779,1143.2579668499998,2021.4611111111112,2895.2000000000007,39.30613392412591,43.22313618037561,6
802.6688888888889,1112.0307647850002,1985.5888888888887,2871.7,38.541655242718065,44.62711873891317,7
855.8272222222222,1217.7239487099998,2096.055555555555,3074.9999999999995,42.28619014338952,46.70412679901403,8
830.4472222222223,1169.8352579149998,2036.9222222222222,2973.9000000000005,40.86810415050789,45.99968361853126,7
821.2810714285714,1176.8997618650003,2021.459523809524,2985.7000000000003,43.300485401161204,47.70021189310411,7
871.6504761904762,1251.4485368849998,2141.347619047619,3164.5999999999995,43.572288557039556,47.78543996548678,4
859.4749999999999,1206.9472322999998,2103.6,3046.7999999999997,40.42842808691351,44.837421563034795,5
848.2198611111112,1187.6844154199996,2079.6694444444443,3019.9999999999995,40.02082123663228,45.21538545789194,7
750.6077777777779,1061.085684625,1872.3666666666668,2739.6,41.363534463553236,46.3174947926866,5
824.2488888888889,1149.4843955850001,2022.8888888888891,2942.2000000000007,39.45841008466969,45.44545754146986,7
871.7876388888889,1238.4768354500002,2134.2638888888887,3135.9,42.06175680908532,46.93122140732885,8
838.0353174603175,1180.0591565799998,2061.3460317460317,3009.9,40.81258056715226,46.01624150655143,6
837.29,1191.37607125,2055.6833333333334,3022.0,42.289537824409706,47.00707793839842,7
811.588611111111,1147.4474609149997,2001.6277777777777,2926.6000000000004,41.38289340261672,46.21100049126685,7
837.035,1159.4125892849997,2064.7999999999997,2955.7000000000003,38.51423050230872,43.14703603254556,8
834.4466666666667,1173.86110105,2051.516666666667,2969.7000000000003,40.6753898052202,44.75631849607201,6
849.28,1193.2619643,2093.4,3053.8,40.50277462085533,45.87751982420942,7
831.2717857142858,1187.0308035500002,2037.3309523809523,2994.2000000000003,42.79695569482391,46.96679479103731,7
831.4511111111112,1156.6250396900002,2040.4944444444445,2954.2,39.1092060896211,44.77863480801221,7
852.5131944444445,1205.5541766350002,2089.286111111111,3063.8999999999996,41.41179098355436,46.648177274800126,8
920.1775000000001,1310.5610712500002,2235.816666666666,3290.0000000000005,42.424811653186474,47.149811031017805,5
853.86875,1224.7544050399997,2090.1916666666666,3067.8,43.43590921204222,46.77122911375752,6
918.4207142857143,1320.79991102,2239.928571428572,3329.6000000000004,43.812077675886165,48.64759718103254,5
867.717142857143,1219.5163396,2115.0857142857144,3057.3999999999996,40.54307323979833,44.55206138217969,5
848.7144444444443,1199.2256064199998,2078.0444444444443,3041.8,41.29906875863234,46.37800496193004,6
861.8630952380954,1218.0085412450003,2118.32380952381,3075.1000000000004,41.322740000663025,45.16666366938819,7
824.8436111111112,1160.8491453999998,2039.5861111111108,2953.5,40.73566549618661,44.808791544036055,7
800.9061904761904,1118.67970142,1984.7761904761905,2881.9,39.67674550684551,45.20025047804358,7
884.5862500000001,1262.47339295,2166.675,3169.1,42.719083972874316,46.265591286187345,7
880.1975,1253.65616005,2152.7833333333338,3155.8000000000006,42.42896168757579,46.59162169904078,7
851.716388888889,1209.2662399,2091.472222222222,3069.0000000000005,41.97991909930893,46.738740653181594,8
860.9065277777778,1206.5673314600003,2104.2027777777776,3034.4999999999995,40.15079367262581,44.211386471255274,6
831.7672222222222,1174.4402579449998,2037.0222222222224,2927.3,41.19818941737836,43.70486330809678,7
873.7352777777778,1245.9577083000001,2142.6944444444443,3154.9999999999995,42.601282103306794,47.24451300932106,6
852.1527777777777,1198.66567381,2096.144444444444,3057.0,40.66323610841824,45.83918623080473,7
870.0941666666668,1213.3625294000003,2134.3833333333328,3062.3999999999996,39.45186347454732,43.47938124204495,4
821.92625,1158.2581249,2028.9250000000002,2952.6,40.91995783076644,45.52533977352537,7
898.5577777777778,1262.5569445849999,2198.177777777778,3205.7999999999997,40.509266717097255,45.83897773913744,6
821.9517857142857,1165.4604164549999,2024.9547619047619,2978.2,41.791822429365624,47.07489056192906,5
833.7276587301586,1190.426785965,2052.10873015873,3020.2999999999997,42.78365045225029,47.180310458811825,7
854.72,1196.4810728500001,2089.5666666666666,3014.6,39.98514985609324,44.2691467130346,6
827.7375000000001,1155.5097322000001,2044.95,2972.3999999999996,39.59857227683898,45.353187119489455,6
899.5761111111111,1268.197539405,2196.2111111111117,3204.6,40.97723624948046,45.914934306052295,5
