regel,margin,volum,gain_pct_margin,lp_gap_pp
H1 Prop-salg,1065.7064356575963,2650.067545351474,25.834591228883106,14.778840991100779
H2 Prop-margin×salg,1043.0188789682538,2515.1748015873018,23.15573021569619,17.457702004287693
H3 ABC-flatt 80/15/5,1045.7581349206348,2502.5992063492063,23.47917121361646,17.134261006367424
H4 Behold dagens,846.9105555555556,2080.1555555555556,0.0,40.613432219983885
LP S2,1190.8700000000001,3024.399999999999,40.613432219983885,0.0
