scenario,delta_T,new_margin,delta_margin,per_unit
S2_primaer_sek,1,1191.62441461,0.6942857999997614,0.6942857999997614
S2_primaer_sek,5,1194.39655741,3.4664285999997446,0.6932857199999489
S2_primaer_sek,10,1197.8608431100004,6.930714300000091,0.693071430000009
S4_implementerbar,1,1040.5978945600002,0.6871409999998832,0.6871409999998832
S4_implementerbar,5,1043.3464675600003,3.4357139999999617,0.6871427999999924
S4_implementerbar,10,1046.7007525600002,6.7899989999998525,0.6789998999999852
